Country,Population,Area,GDP,PPP,GDP_per_capita,PPP_per_capita,G7,G20,OECD,HDI_2018,Polity_Score,Polity_Type,FH_PR,FH_CL,FH_Total,FH_Status,Continent
Peru,32971854,1280000,226848.05,418859.28,6880.051392,12703.54042,0,0,0,0.759,9,Democracy,30,42,72,F,America
Philippines,109581078,298170,376795.51,887473.71,3438.508882,8098.786088,0,0,0,0.712,8,Democracy,25,34,59,PF,Asia
Poland,37846611,306230,592164.4,1205917.5,15646.43133,31863.2889,0,0,1,0.872,10,Full Democracy,35,49,84,F,Europe
Portugal,10196709,91590,237686.08,352447.52,23310.07779,34564.83067,0,0,1,0.85,10,Full Democracy,39,57,96,F,Europe
Qatar,2881053,11610,183466.21,269279.49,63680.26204,93465.64954,0,0,0,0.848,-10,Autocracy,7,18,25,NF,Asia
Romania,19237691,230170,250077.44,565710.79,12999.348,29406.37678,0,0,0,0.816,9,Democracy,35,48,83,F,Europe
Russia,145934462,16376870,1699876.58,4192936.67,11648.21905,28731.64167,0,1,0,0.824,4,Open Anocracy,5,15,20,NF,Europe
Rwanda,12952218,24670,10122.47,26007.35,781.5240602,2007.945666,0,0,0,0.536,-3,Closed Anocracy,8,14,22,NF,Africa
Saint Kitts and Nevis,53199,260,1050.99,1391.31,19755.82248,26152.93521,0,0,0,0.777,,,36,53,89,F,America
Saint Lucia,183627,610,2122.45,2539.24,11558.48541,13828.24966,0,0,0,0.745,,,38,54,92,F,America
Saint Vincent and the Grenadines,110940,390,825.39,1407.39,7439.96755,12686.04651,0,0,0,0.728,,,36,55,91,F,America
San Marino,33931,60,1637.93,2122.52,48272.37629,62554.00666,0,0,0,,,,38,57,95,F,Europe
Sao Tome and Principe,219159,960,429.02,852.73,1957.574181,3890.919378,0,0,0,0.609,,,35,49,84,F,Africa
Saudi Arabia,34813871,2149690,792966.84,1643080.03,22777.32459,47196.13139,0,1,0,0.857,-10,Autocracy,1,6,7,NF,Asia
Senegal,16743927,192530,23578.08,54383.04,1408.157119,3247.926248,0,0,0,0.514,7,Democracy,29,42,71,PF,Africa
Serbia,8737371,87460,51409.17,123012.23,5883.825924,14078.86079,0,0,0,0.799,8,Democracy,23,43,66,PF,Europe
Seychelles,98347,460,1698.84,2732.88,17273.9382,27788.13792,0,0,0,0.801,,,29,43,72,PF,Africa
Sierra Leone,7976983,72180,3941.47,13034.4,494.1053529,1634.001226,0,0,0,0.438,7,Democracy,28,37,65,PF,Africa
Singapore,5850342,700,372062.53,557255.42,63596.71452,95251.76819,0,0,0,0.935,-2,Closed Anocracy,19,31,50,PF,Asia
Slovakia,5459642,48088,105422.3,177655.42,19309.37963,32539.75627,0,0,1,0.857,10,Full Democracy,36,52,88,F,Europe
Slovenia,2078938,20140,53742.16,80361.84,25850.77573,38655.23647,0,0,1,0.902,10,Full Democracy,39,55,94,F,Europe
Somalia,15893222,627340,917.04,,57.70006862,,0,0,0,0.557,5,Open Anocracy,1,6,7,NF,Africa
South Africa,59308690,1213090,351431.65,747577.38,5925.466403,12604.85403,0,1,0,0.705,9,Democracy,33,46,79,F,Africa
South Sudan,11193725,610952,11997.8,15784.93,1071.832656,1410.158817,0,0,0,0.413,,,-2,4,2,NF,Africa
Spain,46754778,498800,1394116.31,1894494.24,29817.62228,40519.79971,0,0,1,0.893,10,Full Democracy,38,54,92,F,Europe
Sri Lanka,21413249,62710,84008.78,287228.4,3923.215015,13413.58334,0,0,0,0.78,6,Democracy,23,33,56,PF,Asia
Sudan,43849260,1765048,18902.28,178155.96,431.0740934,4062.91828,0,0,0,0.508,-4,Closed Anocracy,2,10,12,NF,Africa
Suriname,586632,156000,3985.25,9302.93,6793.441203,15858.20412,0,0,0,0.724,5,Open Anocracy,32,43,75,F,America
Sweden,10099265,410340,530832.91,547506.56,52561.53888,54212.51547,0,0,1,0.937,10,Full Democracy,40,60,100,F,Europe
Switzerland,8654622,39516,703082.44,590532.23,81237.79872,68233.16258,0,0,1,0.946,10,Full Democracy,39,57,96,F,Europe
Syria,17500658,183630,40405.01,,2308.770904,,0,0,0,0.549,-9,Autocracy,-3,3,0,NF,Asia
Taiwan,23816775,35410,589391,1099030,24746.88534,46145.20648,0,0,0,,10,Full Democracy,37,56,93,F,Asia
Tajikistan,9537645,139960,8116.63,30155.79,851.0098667,3161.764775,0,0,0,0.656,-3,Closed Anocracy,0,9,9,NF,Asia
Tanzania,59734218,885800,63177.07,145034.69,1057.636178,2428.000146,0,0,0,0.528,3,Open Anocracy,17,23,40,PF,Africa
Thailand,69799978,510890,543649.98,1283169.74,7788.684117,18383.52642,0,0,0,0.765,-3,Closed Anocracy,6,26,32,PF,Asia
Timor-Leste,1318445,14870,1673.54,4000.35,1269.328641,3034.142494,0,0,0,0.626,8,Democracy,32,39,71,F,Asia
Togo,8278724,54390,5459.98,12546.55,659.5195105,1515.517367,0,0,0,0.513,-2,Closed Anocracy,16,28,44,PF,Africa
Trinidad and Tobago,1399488,5130,24100.2,37405.11,17220.72644,26727.71042,0,0,0,0.799,10,Full Democracy,33,49,82,F,America
Tunisia,11818619,155360,38797.71,127327.21,3282.761717,10773.44231,0,0,0,0.739,7,Democracy,32,38,70,F,Africa
Turkey,84339067,769630,754411.71,2316406.55,8944.985246,27465.40402,0,1,1,0.807,-4,Closed Anocracy,16,16,32,NF,Europe
Uganda,45741007,199810,34387.23,78492.14,751.781219,1716.012505,0,0,0,0.528,-1,Closed Anocracy,11,23,34,NF,Africa
Ukraine,43733762,579320,153781.07,533868.37,3516.300976,12207.23637,0,0,0,0.75,4,Open Anocracy,27,35,62,PF,Europe
United Arab Emirates,9890402,83600,421142.27,650567.67,42580.9052,65777.67719,0,0,0,0.866,-8,Autocracy,5,12,17,NF,Asia
United Kingdom,68517621,257180,2857480.18,3124143.83,41704.31107,45596.20992,1,1,1,0.92,8,Democracy,39,55,94,F,Europe
United States,334308644,9158020,21544825,20656920.46,64445.91065,61789.96813,1,1,1,0.92,8,Democracy,33,53,86,F,America
Uruguay,3473730,175020,56045.91,76287.37,16134.21596,21961.22612,0,0,0,0.808,10,Full Democracy,40,58,98,F,America
Uzbekistan,33469203,425400,57921.29,227356.12,1730.584681,6792.994742,0,0,0,0.71,-9,Autocracy,2,8,10,NF,Asia
Venezuela,28435940,882050,482359.32,506339.38,16963.01652,17806.31764,0,0,0,0.726,-3,Closed Anocracy,2,14,16,NF,America
Vietnam,97338579,310070,261921.24,742462.14,2690.826625,7627.624603,0,0,0,0.693,-7,Autocracy,3,17,20,NF,Asia
West Bank and Gaza,5101414,6020,14615.9,7122.11,2865.068391,1396.10508,0,0,0,0.69,,,4,21,25,NF,Asia
Western Sahara,597339,266000,908.9,,1521.581547,,0,0,0,,,,-3,7,4,NF,Africa
Yemen,29825964,527970,27591.26,91982,925.075213,3083.95732,0,0,0,0.463,,,1,10,11,NF,Asia
Zambia,18383955,743390,23064.72,62449.13,1254.611426,3396.936622,0,0,0,0.591,6,Democracy,22,32,54,PF,Africa
Zimbabwe,14862924,386850,21440.76,48524.95,1442.566752,3264.832007,0,0,0,0.563,4,Open Anocracy,12,17,29,PF,Africa
