"ID","Name","Pref","Zipcode","Latitude","Longitude","Line","Station","Walk","Bus","Car","Budget","ScoreN","Score"
"5506866","きたろうラーメン","京都府",6100343,NA,NA,"","",NA,NA,NA,NA,0,NA
"7399276","麺匠 たか松 四条店","京都府",6008091,35.003411,135.761193,"阪急京都本線","烏丸駅",1,NA,NA,NA,0,NA
"5506902","ラーメン跳満","京都府",6292262,35.563231,135.152905,"京都丹後鉄道宮豊線","岩滝口駅",20,NA,NA,NA,0,NA
"7617799","一風堂 京都ポルタ店","京都府",6008216,34.986452,135.759389,"JR奈良線","京都駅",1,NA,NA,NA,0,NA
"5636016","天天有 葛野大路店","京都府",6150051,35.000463,135.719947,"阪急京都本線","西京極駅",12,NA,NA,NA,0,NA
"7371586","とりそば ささ","京都府",6168176,35.019552,135.697507,"JR山陰本線（京都-米子）","太秦駅",8,NA,NA,NA,0,NA
"6266344","らー麺創房 ぱこ","京都府",6150047,34.995492,135.725397,"阪急京都本線","西京極駅",11,NA,NA,NA,1,3.5
"5506599","ラーメン藤 五条店","京都府",6050846,NA,NA,"","",NA,NA,NA,NA,0,NA
"7626364","久御山 塩元帥","京都府",6130022,34.88816,135.752065,"","",NA,NA,NA,NA,0,NA
"7355647","麺屋 龍玄","京都府",6068116,35.043702,135.790967,"叡山電鉄本線","一乗寺駅",4,NA,NA,NA,0,NA
"5506528","第一旭 熊野店","京都府",6068392,35.017718,135.777805,"京阪本線（鴨東線）","神宮丸太町駅",6,NA,NA,NA,0,NA
"6412672","味の名門 総本家","京都府",6008846,34.990726,135.739362,"JR山陰本線（京都-米子）","丹波口駅",10,NA,NA,NA,0,NA
"7666508","ラーメンムギュ vol．2","京都府",6048146,35.006547,135.760279,"阪急京都本線","烏丸駅",3,NA,NA,NA,0,NA
"5506588","天下一品 祇園店","京都府",6050073,NA,NA,"京阪本線","祇園四条駅",5,NA,NA,NA,0,NA
"5506522","新進亭 一乗寺店","京都府",6068111,35.046579,135.785001,"叡山電鉄本線","一乗寺駅",6,NA,NA,NA,1,3
"6752854","一乗寺つるかめ","京都府",6068182,35.042902,135.783266,"叡山電鉄本線","一乗寺駅",6,NA,NA,NA,0,NA
"6272919","めん家","京都府",6008845,34.989296,135.740318,"ＪＲ山陰本線（京都-米子）","丹波口駅",3,NA,NA,NA,0,NA
"6206573","山崎麺二郎","京都府",6048462,35.019481,135.731573,"ＪＲ山陰本線（京都-米子）","円町駅",3,NA,NA,NA,2,4.5
"6167467","ラーメン亭ふく","京都府",6250037,35.46831,135.392893,"ＪＲ小浜線","東舞鶴駅",2,NA,NA,NA,0,NA
"6364922","しらかわ","京都府",6068417,35.027534,135.79129,"叡山電鉄本線","元田中駅",20,NA,NA,NA,0,NA
"5506671","宝屋 西小路五条店","京都府",6150046,34.994378,135.725941,"阪急京都本線","西京極駅",10,NA,NA,NA,1,3
"5506533","東龍","京都府",6068275,35.031681,135.791693,"叡山電鉄本線","茶山（京都府）駅",2,NA,NA,NA,2,4
"5506815","天下一品 六地蔵店","京都府",6110001,34.935514,135.797926,"京都市営東西線","六地蔵（奈良線・京都市営）駅",3,NA,NA,NA,0,NA
"5714134","ラーメン大栄","京都府",6020862,35.018821,135.769062,"京阪本線（鴨東線）","神宮丸太町駅",6,NA,NA,NA,0,NA
"7401257","ラーメン こんじき 深草店","京都府",6120029,34.960911,135.767877,"京阪本線","深草駅",8,NA,NA,NA,0,NA
"5506837","来来亭 亀岡店","京都府",6210011,35.034861,135.550511,"ＪＲ山陰本線（京都-米子）","並河駅",6,NA,NA,NA,0,NA
"5506743","庵","京都府",6078133,34.980829,135.82523,"京都市営東西線","東野（京都府）駅",10,NA,NA,NA,0,NA
"7524691","ラーメン かえで","京都府",6240853,NA,NA,"","",NA,NA,NA,NA,0,NA
"6652251","熱烈らぁめん","京都府",6250020,35.480982,135.427048,"JR小浜線","松尾寺駅",30,NA,NA,NA,1,4
"7675823","らーめん 剛力","京都府",6018391,34.983407,135.719945,"阪急京都本線","西京極駅",14,NA,NA,NA,0,NA
